name,ring,quadrant,isNew,description
Power BI,Trial,Languages & Frameworks,FALSE,"En Visual Analytics Platform, markedsledende innen Business Intelligence (BI)-plattformer. Integrerer med mange datakilder og bruker arbeidsbenk for å utarbeid interaktive datavisualiseringer og dashboards. PowerBI er pr.nå ikke egnet på SSBs skyplattform.<br>Mer info her:<a href=""https://powerbi.microsoft.com/en-us/what-is-power-bi/"">Power BI</a>"
Looker,Assess,Languages & Frameworks,FALSE,"Visualiserings- og analyseverktøy knyttet til Google Cloud-plattformen. <br>Mer info her:<a href=""https://www.looker.com/"">Looker</a>"
Shiny,Assess,Languages & Frameworks,FALSE,"Shiny fra RStudio er pakker som gjør det mulig å bygge interaktive applikasjoner og visualiseringer basert på R og i RStudio. Shiny er ikke en egent teknologi på DAPLA, og bør derfor kun brukes på infrastrukturen på bakken. <br>Mer info her:<a href=""https://shiny.rstudio.com/"">Shiny</a>"
Dash plotly,Assess,Languages & Frameworks,FALSE,"Dash er pakker basert på plot.ly og React.js som gjør det enklere å bygge interaktive applikasjoner og visualiseringer i Python. <br>Mer info her:<a href=""https://dash.plotly.com/"">Dash plotly</a>"
Our world in data grapher,Hold,Languages & Frameworks,FALSE,"Open source verktøy utviklet av teamet bak Our world in data som støtter interaktve visualiseringer. <br>Mer info her:<a href=""https://ourworldindata.org/owid-grapher/"">Owid Grapher</a>"
D3.js,Hold,Languages & Frameworks,FALSE,"Javascript bibliotek, data-driven documents, som kan brukes til rike, interaktive visualiseringer. <br>Mer info her:<a href=""https://www.d3js.org/"">D3.js</a>"
Datawrapper,Hold,Languages & Frameworks,FALSE,"Verktøy for å lage interaktive diagrammer, mye brukt av mediaaktører. <br>Mer info her:<a href=""https://www.datawrapper.de/"">Datawrapper</a>"
Grafana,Adopt,Tools,FALSE,"Teknologi for å visulalisere data fra mange ulike kilder. Mest brukt til å visualisere logger og metrikker. Brukerne lage egne fleksible dashboard. <br>Mer info her:<a href=""https://grafana.com"">Grafana</a>"
Github,Adopt,Tools,FALSE,"Teknologi for å koordinere prosjekter"
Terraform,Adopt,Tools,FALSE,"Infrastruktur som kode som gjør at man kan bygge, endre og versjonere infrastruktur raskt og effektivt <br>Mer info her:<a href=""https://www.terraform.io"">Terraform</a>"
MOVEit,Adopt,Tools,FALSE,"Overføring av filer på bakkenivå"
Apache Spark,Adopt,Tools,FALSE,"Teknologi for minnebasert distribuert prosessering i klynger eller prosessering på enkel noder. Koden kan skrives i flere språk. Denne teknologien er en del av DAPLA. <br>Mer info her:<a href=""https://spark.apache.org"">Apache Spark</a>"
NuGet,Adopt,Tools,TRUE,"Defacto standard-verktøy for pakkehåndtering og kodedeling i .NET som kan brukes i .Net baserte prosjekter både i PxWeb og Altinn. <br>Mer info her:<a href=""https://www.nuget.org"">NuGet</a>"
Poetry,Trial,Tools,TRUE,"Brukervennlig Python verktøy for å håndtere avhengigheter og publisere pakker til artifaktlager <br>Mer info her:<a href=""https://python-poetry.org/"">Poetry</a>"
Google Artifact Registry,Trial,Tools,TRUE,"Lagring og distribusjon av Python-pakker som er interne i SSB. <br>Generelt om GAR for Python: <a href=""https://cloud.google.com/artifact-registry/docs/python"">GAR Python</a><br>Implementasjonen i skyplattformen: <a href=""https://docs.bip.ssb.no/develop/artifact_registry/#set-up-artifact-registry-for-python"">SSB Developer Guide</a>"
Watchdog,Assess,Tools,TRUE,"Python basert API bibliotek for å monitorere og respondere på endringer i filsystem. <br>Mer infor her:<a href=""https://python-watchdog.readthedocs.io/en/stable/"">Watchdog</a>"
Figma,Assess,Tools,FALSE,"Designverktøy for brukergrensesnitt som er integrert med Altinn3. <br>Mer infor her:<a href=""https://www.figma.com"">Figma</a>"
Miro,Adopt,Tools,TRUE,"Miro er den nettbaserte tavleplattformen som gjør det mulig for distribuerte team å jobbe effektivt sammen, fra idédugnad med digitale klistrelapper til planlegging og administrering av smidige arbeidsflyter. <br>Mer infor her:<a href=""https://www.miro.com"">Miro</a>"
