name,ring,quadrant,isNew,description
Google Cloud Storge,Ta i bruk,Datainnsamling - lagring,FALSE,"SSB har allerede tatt i bruk GCS for lagring av data på DAPLA.<br>Mer info her:<a href=""https://cloud.google.com/storage"">GCS</a>"
Google PubSub,Ta i bruk,Datainnsamling - lagring,FALSE,"Moden og stabil teknologi for innmsaling av data som hendelser i en strøm. Kan også brukes som meldingsformidler/Køsystem. Flere prosjekter i SSB bruker PubSub.<br>Mer info her:<a href=""https://cloud.google.com/pubsub"">PubSub</a>"
Google BigQuery,Prøv ut,Datainnsamling - lagring,FALSE,"Populær og superskalerbar databaseteknologi for lagring av data. Kan også brukes til klargjøring og utforsking av data. BQ støtter SQL. Kan kombineres med flere tjenester fra Google.<br>Mer info her:<a href=""https://cloud.google.com/bigquery"">BigQuery</a>"
Google Cloud DLP,Vurder,Klargjøring,FALSE,"Relativ ny teknologi fra Google for å verne sensitive data. Kan f.eks. brukes til pseudonymisering av data. <br>Mer info her:<a href=""https://cloud.google.com/dlp"">DLP</a>"
Google Data catalog,Vurder,Analyse - formidling,FALSE,"Ny teknologi fra Google for datautforsking og dataforvaltning <br>Mer info her:<a href=""https://cloud.google.com/data-catalog"">Data Catalog</a>"
TestTech2,Prøv ut,Klargjøring,TRUE,"Very cool tech!"
TestTech3,Vurder,Analyse - formidling,FALSE,"Very cool tech!"
TestTech4,Avvent,Utvikling - infrastruktur,TRUE,"Very cool tech!"
